county,election_district,office,district,party,candidate,election_day,absentee,votes
New Castle,12-04,U.S. Senate,,LIBERTARIN,Rash J,0,0,0
New Castle,13-04,U.S. Senate,,DEMOCRATIC,Coons C,223,10,233
New Castle,13-04,U.S. Senate,,REPUBLICAN,O'Donnell,91,2,93
New Castle,13-04,U.S. Senate,,IND OF DEL,Miller G,7,1,8
New Castle,13-04,U.S. Senate,,LIBERTARIN,Rash J,0,0,0
New Castle,14-04,U.S. Senate,,DEMOCRATIC,Coons C,124,5,129
New Castle,14-04,U.S. Senate,,REPUBLICAN,O'Donnell,57,0,57
New Castle,14-04,U.S. Senate,,IND OF DEL,Miller G,7,0,7
New Castle,14-04,U.S. Senate,,LIBERTARIN,Rash J,0,0,0
New Castle,15-04,U.S. Senate,,DEMOCRATIC,Coons C,32,0,32
New Castle,15-04,U.S. Senate,,REPUBLICAN,O'Donnell,5,0,5
New Castle,15-04,U.S. Senate,,IND OF DEL,Miller G,0,0,0
New Castle,15-04,U.S. Senate,,LIBERTARIN,Rash J,2,0,2
New Castle,16-04,U.S. Senate,,DEMOCRATIC,Coons C,51,9,60
New Castle,16-04,U.S. Senate,,REPUBLICAN,O'Donnell,91,2,93
New Castle,16-04,U.S. Senate,,IND OF DEL,Miller G,3,0,3
New Castle,16-04,U.S. Senate,,LIBERTARIN,Rash J,1,0,1
New Castle,17-04,U.S. Senate,,DEMOCRATIC,Coons C,83,2,85
New Castle,17-04,U.S. Senate,,REPUBLICAN,O'Donnell,29,2,31
New Castle,17-04,U.S. Senate,,IND OF DEL,Miller G,1,0,1
New Castle,17-04,U.S. Senate,,LIBERTARIN,Rash J,1,0,1
New Castle,18-04,U.S. Senate,,DEMOCRATIC,Coons C,28,1,29
New Castle,18-04,U.S. Senate,,REPUBLICAN,O'Donnell,9,0,9
New Castle,18-04,U.S. Senate,,IND OF DEL,Miller G,2,0,2
New Castle,18-04,U.S. Senate,,LIBERTARIN,Rash J,2,0,2
New Castle,19-04,U.S. Senate,,DEMOCRATIC,Coons C,17,0,17
New Castle,19-04,U.S. Senate,,REPUBLICAN,O'Donnell,2,0,2
New Castle,19-04,U.S. Senate,,IND OF DEL,Miller G,0,0,0
New Castle,19-04,U.S. Senate,,LIBERTARIN,Rash J,1,0,1
New Castle,01-05,U.S. Senate,,DEMOCRATIC,Coons C,540,13,553
New Castle,01-05,U.S. Senate,,REPUBLICAN,O'Donnell,161,6,167
New Castle,01-05,U.S. Senate,,IND OF DEL,Miller G,15,0,15
New Castle,01-05,U.S. Senate,,LIBERTARIN,Rash J,3,0,3
New Castle,02-05,U.S. Senate,,DEMOCRATIC,Coons C,286,1,287
New Castle,02-05,U.S. Senate,,REPUBLICAN,O'Donnell,83,0,83
New Castle,02-05,U.S. Senate,,IND OF DEL,Miller G,10,0,10
